iter	RMSE
1464	51591.89858
1465	51572.40059
1466	51539.91548
1467	51508.21407
1468	51465.40964
1469	51423.82781
1470	51385.44327
1471	51351.2778
1472	51278.11188
1473	51264.3768
1474	51230.58437
1475	51197.15524
1476	51179.28562
1477	51164.38225
1478	51118.63606
1479	51097.87486
1480	51065.09135
1481	51057.8915
1482	51041.73174
1483	50977.03488
1484	50927.92699
1485	50914.39686
1486	50867.14422
1487	50840.84488
1488	50816.40311
1489	50808.34443
1490	50775.82143
1491	50676.3998
1492	50625.60676
1493	50553.70841
1494	50517.8923
1495	50501.06334
1496	50493.31871
1497	50457.37618
1498	50417.14358
1499	50375.16891
1500	50365.2124
1501	50317.23526
1502	50302.32395
1503	50293.19585
1504	50246.89508
1505	50231.02802
1506	50202.94208
1507	50165.24392
1508	50160.1871
1509	50127.41344
1510	50069.24761
1511	50035.232
1512	50025.40882
1513	49988.13241
1514	49936.48543
1515	49801.91262
1516	49731.49827
1517	49693.36567
1518	49666.52945
1519	49556.68055
1520	49512.01367
1521	49466.68024
1522	49455.68446
1523	49444.67928
1524	49399.30078
1525	49332.25073
1526	49298.21724
1527	49293.23949
1528	49258.61038
1529	49191.58558
1530	49188.29794
1531	49090.4781
1532	49073.1684
1533	49005.4694
1534	48972.90888
1535	48962.54053
1536	48938.79391
1537	48926.49984
1538	48904.42918
1539	48899.40012
1540	48882.10031
1541	48875.13912
1542	48864.32382
1543	48849.90481
1544	48825.82038
1545	48764.97683
1546	48663.02166
1547	48597.76633
1548	48535.05262
1549	48533.74736
1550	48485.13361
1551	48455.96863
1552	48396.11613
1553	48349.96403
1554	48263.27763
1555	48220.56142
1556	48203.42134
1557	48144.62104
1558	48098.83725
1559	48059.68986
1560	48055.31503
1561	47949.14872
1562	47850.19278
1563	47839.60333
1564	47818.7099
1565	47792.2908
1566	47746.43379
1567	47713.31767
1568	47710.50341
1569	47654.83699
1570	47631.63796
1571	47578.44733
1572	47531.36541
1573	47472.74896
1574	47434.87488
1575	47427.98786
1576	47395.48544
1577	47226.99743
1578	47161.57374
1579	47121.33432
1580	47057.60163
1581	47045.14128
1582	47037.51603
1583	46970.04622
1584	46931.80088
1585	46930.46601
1586	46917.7641
1587	46888.43034
1588	46833.02749
1589	46791.32461
1590	46785.12838
1591	46746.86492
1592	46737.89868
1593	46680.19778
1594	46646.01249
1595	46627.63004
1596	46625.25934
1597	46597.85229
1598	46557.50338
1599	46541.94387
1600	46537.98654
1601	46525.29289
1602	46500.16833
1603	46475.75969
1604	46456.70658
1605	46428.36879
1606	46391.05655
1607	46380.85912
1608	46327.3221
1609	46271.53915
1610	46245.41312
1611	46174.64293
1612	46172.26171
1613	46130.78519
1614	46122.8024
1615	46112.95192
1616	46059.68807
1617	45944.82758
1618	45919.7954
1619	45886.505
1620	45873.29895
1621	45838.82355
1622	45794.92008
1623	45775.05332
1624	45730.46285
1625	45723.02521
1626	45718.46317
1627	45673.30731
1628	45660.20392
1629	45616.03719
1630	45614.3561
1631	45608.76613
1632	45544.11504
1633	45522.46491
1634	45472.34694
1635	45408.99069
1636	45349.28101
1637	45342.27275
1638	45300.92106
1639	45259.60463
1640	45237.56457
1641	45197.76773
1642	45163.56184
1643	45139.54652
1644	45079.06287
1645	45005.15393
1646	44973.11042
1647	44944.0218
1648	44926.89573
1649	44876.81966
1650	44765.2971
1651	44740.35074
1652	44726.68178
1653	44688.55709
1654	44646.28155
1655	44611.04314
1656	44600.78803
1657	44583.4275
1658	44542.03739
1659	44528.563
1660	44493.9462
1661	44470.95773
1662	44447.87898
1663	44405.79938
1664	44394.39707
1665	44362.87956
1666	44356.42701
1667	44250.18456
1668	44230.94992
1669	44223.08013
1670	44166.08875
1671	44136.09912
